GeneSet	BroadCelltypePathway	Lineage	GeneSet_index	Concept_index	Description	Genes	Reference	n_genes
Cytokine_Ils	Cytokine	Functional_group	111	38	Interleukins: These genes encode interleukins, a group of cytokines that play key roles in regulating immune cell proliferation, differentiation, and activation.	IL2:IL1B:IL10:IL19:IL6R:IL5:IL21:IL12B:IL23A:IL2RA:IL1F10:IL20:IL18:IL7:IL27:IL4:IL36A:IL25:IL36RN:IL34:IL1RN:IL15:IL9:IL17F:IL11:IL17C:IL17B:IL36G:IL32:IL24:IL31:IL17A:IL26:IL37:IL1A:IL3:IL33:IL22:IL16:IL6	PMID: 30184180	39
Cytokine_TNF	Cytokine	Functional_group	112	38	Tumor Necrosis Factors: These genes encode members of the tumor necrosis factor family, which are involved in inflammation and apoptosis. They play a crucial role in immune system regulation and inflammatory responses.	FASLG:TNFSF12:TNF:TNFSF8:TNFSF13:TNFSF14:TNFSF18:TNFSF4:TNFSF12-TNFSF13:TNFSF11:TNFSF9:TNFSF10:TNFSF15:CD40LG:TNFRSF9:LTA:TNFRSF11B	PMID: 30184180	17
Cytokine_IFNs	Cytokine	Functional_group	113	38	Interferons: These genes code for interferons, which are proteins known for their antiviral properties and ability to modulate the immune response.	IFNA7:IFNA6:IFNA16:IFNA4:IFNA2:IFNA8:IFNA10:IFNA1:IFNA13:IFNA17:IFNA21:IFNA5:IFNA14:IFNW1:IFNL2:IFNL1:IFNL3:IFNK:IFNG:IFNB1:IFNE:IFNL4	PMID: 30184180	22
Cytokine_GF	Cytokine	Functional_group	114	38	Growth Factors: These genes produce growth factors, which are essential for stimulating cell growth, proliferation, and differentiation across various tissues and organs.	BMP2:BMP6:BMP15:BMP7:BMP8A:BMP8B:INHBA:INHBB:INHBC:INHBE:GDF9:GDF10:GDF11:GDF15:GDF1:GDF2:GDF3:GDF5:GDF6:GDF7:BMP4:BMP5:BMP1:GREM1:OSM:TGFB3:LEFTY1:WNT2B:WNT7A:NOG:WNT5B:KITLG:WNT16:WNT2:BMP10:GREM2:WNT4:WNT3:ALKAL1:WNT9B:WNT6:WNT1:WNT9A:WNT3A:WNT10A:WNT10B:VEGFA:NAMPT:AIMP1:FGF2:THPO:MSTN:MYDGF:SCG2	PMID: 30184180	54
Cytokine_CSF	Cytokine	Functional_group	115	38	Colony-Stimulating Factors: These genes code for colony-stimulating factors, which are cytokines that promote the survival, proliferation, and differentiation of hematopoietic cells in the bone marrow.	FLT3LG:CSF3:CNTF:CSF2:CSF1	PMID: 30184180	5
Cytokine_Chemokines	Cytokine	Functional_group	116	38	Chemokines: These genes encode chemokines, a subgroup of cytokines that primarily function in chemotaxis, guiding the migration of cells towards sites of inflammation or injury.	CCL17:CCL18:CCL2:CXCL8:CCL19:CXCL2:CXCL3:CCL3L3:CCL3L1:CXCL13:CCL24:CXCL9:CCL16:XCL1:CCL8:CCL20:CCL4L2:CCL4:CCL11:CXCL6:CCL7:CXCL5:CCL15-CCL14:CCL5:CCL4L1:CCL13:CCL28:CXCL12:CCL1:CXCL17:CCL22:CCL25:CCL3:CXCL10:CXCL1:CCL26:CCL23:CXCL14:CXCL16:CXCL11:CX3CL1:CCL27:XCL2:SCGB3A1	PMID: 30184180	45
Messina_CKS	Cytokine	Functional_group	117	38	Messina 12-chemokine signature	CCL2:CCL3:CCL4:CCL5:CCL8:CCL18:CCL19:CCL21:CXCL9:CXCL10:CXCL11:CXCL13	PMID: 23097687	12
Proliferating_G1S_sc	Cell_proliferation	Functional_group	118	39	Proliferating cell in phase G1-S; data-derived v8	ATAD2:BLM:BRIP1:CCNE2:CDC45:CDC6:CDCA7:CHAF1B:CLSPN:DTL:E2F8:EXO1:FEN1:GINS2:GMNN:HELLS:MCM2:MCM4:POLA1:RAD51:UNG	PMID: 34761219	21
Proliferating_G2M_sc	Cell_proliferation	Functional_group	119	39	Proliferating cell in phase G2-M; data-derived v8	ANLN:AURKA:AURKB:BIRC5:CDC20:CDCA2:CDCA3:CDK1:CENPA:CENPE:KIF11:KIF23:MKI67:NEK2:TOP2A:UBE2C	PMID: 34761219	16
Proliferating_sc	Cell_proliferation	Functional_group	120	39	Proliferating cell; scseq data-derived v8	MCM7:DTYMK:SKA2:SAE1:RFC2:GMPS:TMEM185A:MKI67:PCNA:STMN1:HMGB2	PMID: 34761219	11
TLS_v1_Cabrita20	TLS	Functional_group	121	40	New tertiary lympoid structure signature by Cabrita et al Nature 2020; was TLS_v1_l	CD79B:CD1D:LAT:SKAP1:CETP:EIF1AY:RBP5:PTGDS	PMID: 31942071	8
TLS_v2_Cabrita20	TLS	Functional_group	122	40	Classical tertiary lymphoid structure-hallmark genes Cabrita et al Nature 2020; was TLS_v2_l	CCL19:CCL21:CXCL13:CCR7:CXCR5:SELL:LAMP3	PMID: 31942071	7
DNA_replication	Genome_integrity	Functional_group	123	41	DNA replication, positively correlated with TMB	FEN1:LIG1:MCM2:MCM4:MCM7:POLD1:POLE:POLE3:RFC2:RNASEH2A:RPA1	PMID: 29443960	11
Cell_cycle	Genome_integrity	Functional_group	124	41	Cell cycle, positively correlated with TMB	ANAPC2:CCNB1:CDC20:CDC25A:CDC45:CDC6:CDKN2B:E2F1:E2F2:ESPL1:MCM2:MCM4:MCM7:PKMYT1:TFDP1:TTK	PMID: 29443960	16
Cell_cycle_reg	Genome_integrity	Functional_group	125	41	Cell cycle regulators by Gene expression and mutational profiling	ATM:CCND1:CCNE1:CDKN1A:CDKN2A:E2F3:FBXW7:MDM2:RB1:TP53	PMID: 29443960	10
Nucleotide_excision_repair	Genome_integrity	Functional_group	126	41	Nucleotide excision repair, positively correlated with TMB	LIG1:POLD1:POLE:POLE3:RAD23A:RAD23B:RFC2:RPA1	PMID: 29443960	8
Fanconi_anemia	Genome_integrity	Functional_group	127	41	Fanconi anemia pathway, positively correlated with TMB	ATRIP:EME1:FANCC:FANCG:RAD51:RMI1:RPA1	PMID: 29443960	7
Homologous_recombination	Genome_integrity	Functional_group	128	41	Homologous recombination, positively correlated with TMB	EME1:POLD1:RAD51:RAD54L:RPA1	PMID: 29443960	5
Base_excision_repair	Genome_integrity	Functional_group	129	41	Base excision repair, positively correlated with TMB	FEN1:LIG1:POLD1:POLE:POLE3	PMID: 29443960	5
APOBEC_set	Genome_integrity	Functional_group	130	41	APOBECS genes	APOBEC3A:APOBEC3B	PMID: 29443960	2
Ubiquitous_immune_sc	Reference	Functional_group	131	42	Ubiquitously expressed immune cell genes; data-derived v1	ACTB:HNRNPK:UBC:YWHAZ	PMC: 8484624	4
Ubiquitous_sc	Reference	Functional_group	132	42	Ubiquitously expressed genes; data-derived v8	ACTB:HNRNPK:HNRNPU:SNRPD3:SRRM1:ZNF207	PMID: 34761219	6
Reference_NanoString09	Reference	Functional_group	133	42	High, medium and low expressed reference genes; NanoString Tech Note 2009	ABCF1:ACTB:ALAS1:B2M:CLTC:G6PD:GAPDH:GUSB:HPRT1:LDHA:PGK1:POLR1B:POLR2A:RPL19:RPLP0:SDHA:TBP:TUBB	NanoString Tech Note 2009	18
